height,operation,latency,throughput
1,LOAD,117252,4264319.585166991
2,LOAD,104142,4801136.909220103
3,LOAD,1945743,256971.2444038087
4,LOAD,58337405,8570.830327471715
5,LOAD,56649193,8826.251064159025
6,LOAD,60338963,8286.519607570981
7,LOAD,69260804,7219.090324160834
8,LOAD,56574915,8837.839173068136
9,LOAD,66953305,7467.891241515262
10,LOAD,63413121,7884.803525125344
11,LOAD,57522223,8692.29271615598
12,LOAD,55805854,8959.633518017661
13,LOAD,62259033,8030.963153571627
14,LOAD,55662490,8982.709900329646
15,LOAD,67733857,7381.8326926222435
16,LOAD,61864067,8082.236171120143
17,LOAD,68487138,7300.6408882205005
18,LOAD,65300388,7656.922344779943
19,LOAD,76264723,6556.111139353381
20,LOAD,81236166,6154.894114525297
21,LOAD,64737721,7723.472378646138
22,LOAD,60612316,8249.14857237925
23,LOAD,71699197,6973.578797542182
24,LOAD,70607374,7081.413337932664
25,LOAD,74330147,6726.745744226767
26,LOAD,73362754,6815.447522594368
27,LOAD,79170838,6315.456708946292
28,LOAD,74456188,6715.358567645177
29,LOAD,75279914,6641.877938383404
30,LOAD,72806019,6867.564067745553
31,LOAD,71761057,6967.567381288713
32,LOAD,94883918,5269.596898391148
33,LOAD,76497339,6536.175068782458
34,LOAD,73729740,6781.52398204578
35,LOAD,77523562,6449.652042562234
36,LOAD,75874733,6589.809021140147
37,LOAD,82492870,6061.129889164966
38,LOAD,73681030,6786.0071988678765
39,LOAD,79586222,6282.494474985884
40,LOAD,78946329,6333.416719097857
41,LOAD,85990126,5814.621088007244
42,LOAD,76769508,6513.002532203281
43,LOAD,78904849,6336.746173863155
44,LOAD,79977481,6251.759792234517
45,LOAD,80327334,6224.531241133934
46,LOAD,81320484,6148.512347762219
47,LOAD,116347525,4297.470014940155
48,LOAD,80536417,6208.37154948177
49,LOAD,93165231,5366.80899766137
50,LOAD,89366865,5594.9148490326925
51,LOAD,78814222,6344.0326797871585
52,LOAD,91566481,5460.513438318111
53,LOAD,88403570,5655.880186739066
54,LOAD,106698780,4686.08919427195
55,LOAD,72896225,6859.065747231766
56,LOAD,81605703,6127.022764573207
57,LOAD,85352321,5858.071510439651
58,LOAD,85079105,5876.8836367049225
59,LOAD,95225810,5250.677311119747
60,LOAD,87505930,5713.898475223336
61,LOAD,86621004,5772.272046165615
62,LOAD,97344575,5136.393065561178
63,LOAD,95709330,5224.151083285193
64,LOAD,89480698,5587.797269976593
65,LOAD,86584307,5774.718506437893
66,LOAD,87424587,5719.214893174159
67,LOAD,92706042,5393.39172736983
68,LOAD,90782673,5507.65893399063
69,LOAD,98012875,5101.370610748843
70,LOAD,108905319,4591.143982600152
71,LOAD,90162776,5545.525794369952
72,LOAD,88930196,5622.38724853367
73,LOAD,91009360,5493.940403492565
74,LOAD,89532859,5584.5418719399995
75,LOAD,89289533,5599.7605004832985
76,LOAD,101066906,4947.217836073858
77,LOAD,87892819,5688.7468815854
78,LOAD,91333863,5474.420807099772
79,LOAD,93017889,5375.31011911053
80,LOAD,90988000,5495.230140238273
81,LOAD,89242137,5602.734501976348
82,LOAD,109642261,4560.285381199864
83,LOAD,87818426,5693.565949360103
84,LOAD,92678888,5394.9719379455655
85,LOAD,94902290,5268.576764585976
86,LOAD,93028126,5374.718609294569
87,LOAD,95941501,5211.509042369475
88,LOAD,93407605,5352.883204745481
89,LOAD,133410836,3747.8215037944897
90,LOAD,132985314,3759.8136588225075
91,LOAD,100366608,4981.73655524953
92,LOAD,97464464,5130.07489581023
93,LOAD,113544580,4403.556735160762
94,LOAD,92765846,5389.914732195727
95,LOAD,106103276,4712.389841761342
96,LOAD,100539635,4973.16307145933
97,LOAD,113308782,4412.720630956919
98,LOAD,105556928,4736.780517144265
99,LOAD,101927235,4905.460253091335
100,LOAD,105005204,4761.668764530947
101,LOAD,113976839,4386.856175226969
102,LOAD,105035962,4760.274390593957
103,LOAD,107145247,4666.562577432856
104,LOAD,98772965,5062.113909408308
105,LOAD,119773029,4174.562538616269
106,LOAD,102979139,4855.352305868473
107,LOAD,108277270,4617.774349131632
108,LOAD,116357952,4297.08491259798
109,LOAD,107805932,4637.963706857987
110,LOAD,107028582,4671.649298315472
111,LOAD,107010553,4672.436371766063
112,LOAD,116515835,4291.262213415027
113,LOAD,118478597,4220.171513340928
114,LOAD,107873622,4635.053414633653
115,LOAD,114280142,4375.213324463667
116,LOAD,104813722,4770.367757763625
117,LOAD,106617172,4689.67606831665
118,LOAD,103434839,4833.961214944222
119,LOAD,113354613,4410.936500660983
120,LOAD,108545971,4606.343242348443
121,LOAD,107636601,4645.260026373371
122,LOAD,106545546,4692.828736360317
123,LOAD,110073939,4542.4012672064
124,LOAD,109982863,4546.1627962894545
125,LOAD,116670998,4285.555181417065
126,LOAD,107370380,4656.777781730865
127,LOAD,108161908,4622.699518207463
128,LOAD,108362597,4614.138215975019
129,LOAD,108108101,4625.00030409377
130,LOAD,108898462,4591.433072764609
131,LOAD,111828188,4471.144609800885
132,LOAD,108856119,4593.219054594441
133,LOAD,117657244,4249.632092351237
134,LOAD,109778606,4554.621507946639
135,LOAD,118701120,4212.260170754917
136,LOAD,114635087,4361.666336939231
137,LOAD,116709237,4284.151047958612
138,LOAD,106277926,4704.645817043889
139,LOAD,111648430,4478.343313918521
140,LOAD,115358447,4334.316324490742
141,LOAD,110025886,4544.385127696222
142,LOAD,115213361,4339.774446819583
143,LOAD,120344116,4154.7523603065065
144,LOAD,102974171,4855.5865528647955
145,LOAD,119413937,4187.115947780869
146,LOAD,116362214,4296.927523225022
147,LOAD,112844737,4430.866811271845
148,LOAD,117926903,4239.914618973755
149,LOAD,110290469,4533.483305796804
150,LOAD,116110421,4306.245690040173
151,LOAD,115877722,4314.89324583029
152,LOAD,117365872,4260.18221037884
153,LOAD,114740056,4357.676102232336
154,LOAD,113356206,4410.874513566553
155,LOAD,113591435,4401.740324875727
156,LOAD,113566938,4402.689803963897
157,LOAD,115274998,4337.453989806185
158,LOAD,101008376,4950.084535563665
159,LOAD,113777818,4394.529696465088
160,LOAD,113991312,4386.299194450889
161,LOAD,113400447,4409.153695840369
162,LOAD,115750903,4319.620729006321
163,LOAD,114945850,4349.8743103818015
164,LOAD,110274984,4534.119905199896
165,LOAD,102656360,4870.618829656535
166,LOAD,114000661,4385.9394815263395
167,LOAD,110709516,4516.323601306323
168,LOAD,113973446,4386.986772339936
169,LOAD,113243099,4415.280086956999
170,LOAD,122643858,4076.8450059684196
171,LOAD,107938103,4632.284486230038
172,LOAD,113330405,4411.878701042319
173,LOAD,111772060,4473.389861473431
174,LOAD,120870179,4136.669641235495
175,LOAD,111057200,4502.184459899943
176,LOAD,121843321,4103.630760359856
177,LOAD,112301800,4452.2883871852455
178,LOAD,122518724,4081.0088750189725
179,LOAD,111299302,4492.391156235643
180,LOAD,122892114,4068.6093169493365
181,LOAD,112378619,4449.244922648498
182,LOAD,122443811,4083.5056987894636
183,LOAD,113191741,4417.283412930277
184,LOAD,123283044,4055.707774379744
185,LOAD,114484714,4367.395283880432
186,LOAD,121041652,4130.809450617875
187,LOAD,112769937,4433.805793471358
188,LOAD,122933996,4067.2231951200874
189,LOAD,115158718,4341.833676891054
190,LOAD,123388871,4052.2293132903374
