height,operation,latency,throughput
1,LOAD,138927,3599012.4309889367
2,LOAD,117108,4269563.138299689
3,LOAD,3163064,158074.5757910684
4,LOAD,2059282,242803.07408116033
5,LOAD,39741623,12581.267755471385
6,LOAD,59487192,8405.170645808932
7,LOAD,60404597,8277.515699674315
8,LOAD,60568318,8255.140913769474
9,LOAD,69413178,7203.2431651523
10,LOAD,45335150,11028.969794960421
11,LOAD,65991755,7576.704089776064
12,LOAD,59222444,8442.745118725597
13,LOAD,77031062,6490.8880524067035
14,LOAD,68771050,7270.501177457666
15,LOAD,68744950,7273.261526846699
16,LOAD,73219873,6828.747162672626
17,LOAD,86427820,5785.1742644903
18,LOAD,82393178,6068.463580807625
19,LOAD,82089819,6090.889297733743
20,LOAD,77788383,6427.694993994154
21,LOAD,64531598,7748.142235684293
22,LOAD,83384475,5996.320058380173
23,LOAD,67072562,7454.613109903272
24,LOAD,91046586,5491.6941092113
25,LOAD,72877072,6860.868394932222
26,LOAD,89152412,5608.373220457569
27,LOAD,81959462,6100.576892513032
28,LOAD,75773138,6598.644495889824
29,LOAD,75062830,6661.086452509185
30,LOAD,74284636,6730.866931891542
31,LOAD,83335063,5999.8754665848155
32,LOAD,76892903,6502.5506970389715
33,LOAD,66770194,7488.371233427898
34,LOAD,79693156,6274.064488047129
35,LOAD,83824090,5964.872389309565
36,LOAD,92834142,5385.949492590776
37,LOAD,75325560,6637.853074042861
38,LOAD,85060361,5878.17867361273
39,LOAD,83932278,5957.183718997832
40,LOAD,82955834,6027.303637258351
41,LOAD,96477941,5182.531828700615
42,LOAD,87142272,5737.743445569104
43,LOAD,91205908,5482.10100600062
44,LOAD,97122399,5148.143014877547
45,LOAD,95148869,5254.923208808715
46,LOAD,100874605,4956.648900880455
47,LOAD,100618377,4969.271170016984
48,LOAD,85168795,5870.694777353607
49,LOAD,101725135,4915.206059937891
50,LOAD,89775373,5569.456113537953
51,LOAD,100330639,4983.522530938929
52,LOAD,93258641,5361.433478319719
53,LOAD,107075591,4669.598321432566
54,LOAD,88970198,5619.859360097187
55,LOAD,101620454,4920.2692993282635
