height,operation,latency,throughput
1,PUT,2526495,3958.052558979931
2,PUT,0.0016594020000000001,6026.267293880566
3,PUT,0.0019336440000000002,5171.582773250919
4,PUT,0.001677696,5960.55542839704
5,PUT,0.0016195360000000002,6174.608035881882
6,PUT,0.0017096050000000001,5849.304371477621
7,PUT,0.0020095910000000002,4976.136935326641
8,PUT,0.0017971450000000002,5564.381282534241
9,PUT,0.001771722,5644.226351538221
10,PUT,0.0015110540000000002,6617.89717640799
11,PUT,0.0013753130000000002,7271.072112311887
12,PUT,0.001892802,5283.172777712619
13,PUT,0.001186725,8426.552065558575
14,PUT,0.001506111,6639.616867548275
15,PUT,0.0014594760000000001,6851.774198410936
16,PUT,0.001128702,8859.734456038883
17,PUT,0.0014483710000000002,6904.308357458137
18,PUT,0.001857846,5382.5774579809095
19,PUT,0.0015300350000000001,6535.798200694755
20,PUT,0.0015294570000000001,6538.268156607213
21,PUT,0.001571328,6364.043662430759
21,GET,0.00012400600000000002,40320.62964695256
21,GET,0.000092652,107930.75162975435
