height,latency,throughput,/media/nvme/cxy_test/qmdb/data,/media/nvme/cxy_test/qmdb/data/ADS-0,/media/nvme/cxy_test/qmdb/data/ADS-0/metadb,/media/nvme/cxy_test/qmdb/data/ADS-0/data
1,51180,976944.1187964048,5767304,5767304,136,5767168
2,24774,2018244.9342052152,5767304,5767304,136,5767168
3,13070613,3825.375290355548,6372464,6372464,272,6372192
4,359172,139209.0697493123,6932464,6932464,272,6932192
5,9574307,5222.310084688114,7492464,7492464,272,7492192
6,7024513,7117.931164765443,8052464,8052464,272,8052192
7,5599205,8929.83914680745,8612464,8612464,272,8612192
8,163080,306597.988717194,9172464,9172464,272,9172192
9,7932649,6303.064713943601,9732464,9732464,272,9732192
10,7097073,7045.1579122829935,10292464,10292464,272,10292192
11,6755013,7401.910255391071,10852464,10852464,272,10852192
12,6181161,8089.0952363156375,11412464,11412464,272,11412192
13,6631815,7539.414172439973,11972464,11972464,272,11972192
14,8295792,6027.152079029946,12532464,12532464,272,12532192
15,7898867,6330.021761348811,13092464,13092464,272,13092192
16,9570798,5224.224772061849,13652464,13652464,272,13652192
17,9230214,5416.992498765468,14212464,14212464,272,14212192
18,8215651,6085.944984761402,14772464,14772464,272,14772192
19,6228601,8027.484823638567,15332464,15332464,272,15332192
20,7805568,6405.683737557601,15892464,15892464,272,15892192
21,8138050,6143.977979982919,16452464,16452464,272,16452192
22,9190147,5440.609383070804,17012464,17012464,272,17012192
23,8253228,6058.235638225432,17572464,17572464,272,17572192
24,4945869,10109.446893963426,18132464,18132464,272,18132192
25,7709094,6485.846456146468,18692464,18692464,272,18692192
26,8269532,6046.291374167245,19252464,19252464,272,19252192
27,7367787,6786.298246678412,19812464,19812464,272,19812192
28,4978387,10043.413659886224,20372464,20372464,272,20372192
29,5346198,9352.44074387069,20932464,20932464,272,20932192
30,7939306,6297.779679987142,21492464,21492464,272,21492192
31,8638270,5788.196016100446,22052464,22052464,272,22052192
32,6986633,7156.523034772257,22612464,22612464,272,22612192
33,4733609,10562.76511220086,23172464,23172464,272,23172192
34,9377608,5331.850083731374,23732464,23732464,272,23732192
35,8650352,5780.111607018997,24292464,24292464,272,24292192
36,8618563,5801.431166657365,24852464,24852464,272,24852192
37,7250086,6896.469917736148,25412464,25412464,272,25412192
38,7475758,6688.284987288245,25972464,25972464,272,25972192
39,5092999,9817.398354093531,26532464,26532464,272,26532192
40,7184403,6959.5205057400035,27092464,27092464,272,27092192
41,6389166,7825.747523229165,27652464,27652464,272,27652192
42,9574493,5222.208632874868,28212464,28212464,272,28212192
43,7818561,6395.038677833427,28772464,28772464,272,28772192
44,8197539,6099.391536899062,29332464,29332464,272,29332192
45,8686688,5755.933676908852,29892464,29892464,272,29892192
46,7461400,6701.155279170129,30452464,30452464,272,30452192
47,8156085,6130.392216363611,31012464,31012464,272,31012192
48,8392200,5957.913300445652,31572464,31572464,272,31572192
49,7355977,6797.193629071978,32132464,32132464,272,32132192
50,8003217,6247.487728996976,32692464,32692464,272,32692192
51,4183246,11952.440760117861,33252464,33252464,272,33252192
52,7470643,6692.864322388314,33812464,33812464,272,33812192
53,8384290,5963.534181188867,34372464,34372464,272,34372192
54,5494092,9100.684881141415,34932464,34932464,272,34932192
55,7719115,6477.426492544806,35492464,35492464,272,35492192
56,6637774,7532.645733343738,36052464,36052464,272,36052192
57,5439601,9191.850652281299,36612464,36612464,272,36612192
58,7287039,6861.497516343744,37172464,37172464,272,37172192
